Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
PKG,Packaging Corporation of America,Process Industries,Containers/Packaging,Materials,XLB,8
PFG,Principal Financial Group Inc.,Finance,Investment Managers,Financial,XLF,5
PNR,Pentair plc,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
ESS,Essex Property Trust Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
LYB,LyondellBasell Industries N.V.,Process Industries,Chemicals: Major Diversified,Materials,XLB,8
SNA,Snap-on Incorporated,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
MAA,Mid-America Apartment Communities Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
INCY,Incyte Corporation,Health Technology,Biotechnology,Health Care,XLV,6
IFF,International Flavors & Fragrances Inc.,Process Industries,Chemicals: Specialty,Materials,XLB,8
NWSA,News Corporation,Consumer Services,Broadcasting,Communication Services,XLC,2
DOW,Dow Inc.,Process Industries,Chemicals: Major Diversified,Materials,XLB,8
LNT,Alliant Energy Corporation,Utilities,Electric Utilities,Utilities,XLU,11
EVRG,Evergy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
LUV,Southwest Airlines Co.,Transportation,Airlines,Industrials,XLI,7
BG,Bunge Global SA,Process Industries,Agricultural Commodities/Milling,Consumer Staples,XLP,4
FTV,Fortive Corporation,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
EXPD,Expeditors International of Washington Inc.,Transportation,Air Freight/Couriers,Industrials,XLI,7
APTV,Aptiv PLC,Electronic Technology,Electronic Components,Consumer Durables,Consumer Discretionary,XLY,3
ZBRA,Zebra Technologies Corporation,Electronic Technology,Electronic Equipment/Instruments,Technology,XLK,10
HRL,Hormel Foods Corporation,Consumer Non-durables,Food: Meat/Fish/Dairy,Consumer Staples,XLP,4
MAS,Masco Corporation,Producer Manufacturing,Building Products,Consumer Durables,Consumer Discretionary,XLY,3
DECK,Deckers Outdoor Corporation,Consumer Non-durables,Apparel/Footwear,Consumer Discretionary,XLY,3
DPZ,Domino's Pizza Inc.,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
BLDR,Builders FirstSource Inc.,Producer Manufacturing,Building Products,Consumer Durables,Consumer Discretionary,XLY,3
HOLX,Hologic Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
BBY,Best Buy Co. Inc.,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
CLX,The Clorox Company,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
OMC,Omnicom Group Inc.,Commercial Services,Miscellaneous Commercial Services,Communication Services,XLC,2
COO,The Cooper Companies Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
BALL,Ball Corporation,Process Industries,Containers/Packaging,Materials,XLB,8
KIM,Kimco Realty Corporation,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
ALLE,Allegion plc,Producer Manufacturing,Building Products,Industrials,XLI,7
CHRW,C.H. Robinson Worldwide Inc.,Transportation,Trucking,Industrials,XLI,7
BFB,Brown-Forman Corporation,Consumer Non-durables,Beverages: Alcoholic,Consumer Staples,XLP,4
TXT,Textron Inc.,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
CNC,Centene Corporation,Health Services,Managed Health Care,Health Care,XLV,6
UDR,UDR Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
FDS,FactSet Research Systems Inc.,Technology Services,Packaged Software,Financial,XLF,5
EG,Everest Group Ltd.,Finance,Property/Casualty Insurance,Financial,XLF,5
CF,CF Industries Holdings Inc.,Process Industries,Chemicals: Agricultural,Materials,XLB,8
JBHT,J.B. Hunt Transport Services Inc.,Transportation,Trucking,Industrials,XLI,7
AVY,Avery Dennison Corporation,Process Industries,Containers/Packaging,Materials,XLB,8
BEN,Franklin Resources Inc.,Finance,Investment Managers,Financial,XLF,5
ARE,Alexandria Real Estate Equities Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
REG,Regency Centers Corporation,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
SOLV,Solventum Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
VTRS,Viatris Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
IEX,IDEX Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
BAX,Baxter International Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
DOC,Healthpeak Properties Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
PAYC,Paycom Software Inc.,Technology Services,Packaged Software,Technology,XLK,10
NDSN,Nordson Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
POOL,Pool Corporation,Distribution Services,Wholesale Distributors,Consumer Discretionary,XLY,3
GNRC,Generac Holdings Inc.,Producer Manufacturing,Electrical Products,Industrials,XLI,7
SJM,The J. M. Smucker Company,Consumer Non-durables,Food: Major Diversified,Consumer Staples,XLP,4
JKHY,Jack Henry & Associates Inc.,Technology Services,Data Processing Services,Financial,XLF,5
