Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
CCO,Cameco Corporation,Energy Minerals,Other Energy,Energy,XLE,1
KL,Kirkland Lake Gold Ltd.,Non-energy Minerals,Precious Metals,Materials,XLB,8
ABX,Barrick Gold Corporation,Non-energy Minerals,Precious Metals,Materials,XLB,8
GOLD,Barrick Gold Corporation,Non-energy Minerals,Precious Metals,Materials,XLB,8
FNV,Franco-Nevada Corporation,Non-energy Minerals,Precious Metals,Materials,XLB,8
WPM,Wheaton Precious Metals Corp.,Non-energy Minerals,Precious Metals,Materials,XLB,8
TRI,Thomson Reuters Corporation,Technology Services,Information Technology Services,Communication Services,XLC,2
CSU,Constellation Software Inc.,Technology Services,Packaged Software,Technology,XLK,10
OTEX,Open Text Corporation,Technology Services,Packaged Software,Technology,XLK,10
ATD,Alimentation Couche-Tard Inc.,Retail Trade,Food Retail,Consumer Staples,XLP,4
QSR,Restaurant Brands International Inc.,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
LOBLAWS,Loblaw Companies Limited,Retail Trade,Food Retail,Consumer Staples,XLP,4
MRU,Metro Inc.,Retail Trade,Food Retail,Consumer Staples,XLP,4
EMPIRE,Empire Company Limited,Retail Trade,Food Retail,Consumer Staples,XLP,4
DOL,Dollarama Inc.,Retail Trade,Discount Stores,Consumer Staples,XLP,4
TIH,Toromont Industries Ltd.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
WSP,WSP Global Inc.,Commercial Services,Miscellaneous Commercial Services,Industrials,XLI,7
STC,Student Transportation Inc.,Transportation,Other Transportation,Industrials,XLI,7
TFI,TFI International Inc.,Transportation,Trucking,Industrials,XLI,7
CGI,CGI Inc.,Technology Services,Information Technology Services,Technology,XLK,10
DSG,Descartes Systems Group Inc.,Technology Services,Packaged Software,Technology,XLK,10
KINAXIS,Kinaxis Inc.,Technology Services,Packaged Software,Technology,XLK,10
REAL,The Real Brokerage Inc.,Finance,Real Estate Development,Real Estate,XLRE,9
GDOT,Green Dot Corporation,Finance,Finance/Rental/Leasing,Financial,XLF,5
FOUR,Shift4 Payments Inc.,Technology Services,Data Processing Services,Financial,XLF,5
BILL,Bill.com Holdings Inc.,Technology Services,Packaged Software,Technology,XLK,10
DOCN,DigitalOcean Holdings Inc.,Technology Services,Internet Software/Services,Technology,XLK,10
FROG,JFrog Ltd.,Technology Services,Packaged Software,Technology,XLK,10
S,SentinelOne Inc.,Technology Services,Packaged Software,Technology,XLK,10
CYBR,CyberArk Software Ltd.,Technology Services,Packaged Software,Technology,XLK,10
TENB,Tenable Holdings Inc.,Technology Services,Packaged Software,Technology,XLK,10
VRNS,Varonis Systems Inc.,Technology Services,Packaged Software,Technology,XLK,10
PFPT,Proofpoint Inc.,Technology Services,Packaged Software,Technology,XLK,10
FEYE,FireEye Inc.,Technology Services,Packaged Software,Technology,XLK,10
QLYS,Qualys Inc.,Technology Services,Packaged Software,Technology,XLK,10
SAIL,SailPoint Technologies Holdings Inc.,Technology Services,Packaged Software,Technology,XLK,10
PING,Ping Identity Holding Corp.,Technology Services,Packaged Software,Technology,XLK,10
RPD,Rapid7 Inc.,Technology Services,Packaged Software,Technology,XLK,10
MIME,Mimecast Limited,Technology Services,Packaged Software,Technology,XLK,10
NLOK,NortonLifeLock Inc.,Technology Services,Packaged Software,Technology,XLK,10
CHKP,Check Point Software Technologies Ltd.,Technology Services,Packaged Software,Technology,XLK,10
MRVL,Marvell Technology Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
QRVO,Qorvo Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
SEDG,SolarEdge Technologies Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
RUN,Sunrun Inc.,Utilities,Electric Utilities,Utilities,XLU,11
NOVA,Sunnova Energy International Inc.,Utilities,Electric Utilities,Utilities,XLU,11
SPWR,SunPower Corporation,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
CSIQ,Canadian Solar Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
JKS,JinkoSolar Holding Co. Ltd.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
DQ,Daqo New Energy Corp.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
SOL,Renesola Ltd.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
MAXN,Maxeon Solar Technologies Ltd.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
PLUG,Plug Power Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
FCEL,FuelCell Energy Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
BLDP,Ballard Power Systems Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
HYLN,Hyliion Holdings Corp.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
BE,Bloom Energy Corporation,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
NEP,NextEra Energy Partners LP,Utilities,Electric Utilities,Utilities,XLU,11
UGI,UGI Corporation,Utilities,Gas Distributors,Utilities,XLU,11
NJR,New Jersey Resources Corporation,Utilities,Gas Distributors,Utilities,XLU,11
SWX,Southwest Gas Holdings Inc.,Utilities,Gas Distributors,Utilities,XLU,11
NFG,National Fuel Gas Company,Utilities,Gas Distributors,Utilities,XLU,11
OGS,ONE Gas Inc.,Utilities,Gas Distributors,Utilities,XLU,11
SJW,SJW Group,Utilities,Water Utilities,Utilities,XLU,11
CWT,California Water Service Group,Utilities,Water Utilities,Utilities,XLU,11
MSEX,Middlesex Water Company,Utilities,Water Utilities,Utilities,XLU,11
ARTNA,Artesian Resources Corporation,Utilities,Water Utilities,Utilities,XLU,11
CTWS,Connecticut Water Service Inc.,Utilities,Water Utilities,Utilities,XLU,11
YORW,York Water Company,Utilities,Water Utilities,Utilities,XLU,11
